response	Responder	Responder	Responder	Nonresponder	Nonresponder	Nonresponder	Nonresponder
sample	F0130	F0177	H0086	F0155	F0056	F0100	H0054
EC__1__11__1__9	1189.96	1535.26	1093.25	1531.52	 820.44	1257.92	 983.13
EC__1__11__2__4	 0.00	29.33	 0.00	 2.00	 2.00	 3.00	 0.00
EC__1__12__1__2	0	0	0	0	0	0	0
EC__1__12__1__3	6492.37	9549.88	6535.73	5732.95	3546.83	5238.23	8932.00
EC__1__12__2__1	 0	 0	 0	 2	 2	 0	14
EC__1__12__7__2	590.00	659.33	613.00	478.25	413.25	122.00	924.75
EC__1__12__98__1	 3.75	 0.00	58.75	 2.25	 2.50	 0.00	 0.00
EC__1__12__99__6	114.42	103.72	130.26	 74.52	200.34	 23.00	 23.72
EC__1__13__11__1	0	0	0	0	0	0	0
EC__1__13__11__11	9	0	0	0	0	0	0
EC__1__13__11__15	 0.00	 3.43	 0.00	 0.00	29.21	 0.00	 0.28
EC__1__13__11__16	 0.00	 3.43	 0.00	 0.00	28.96	 0.00	 0.28
EC__1__13__11__2	 64.50	133.23	  1.40	 17.23	132.13	  2.40	 16.67
EC__1__13__11__20	0	0	0	0	0	0	0
EC__1__13__11__27	9	0	0	0	0	0	0
EC__1__13__11__3	0	0	0	0	0	0	0
EC__1__13__11__4	298	142	115	 44	126	 41	115
EC__1__13__11__49	4.5	1.0	1.0	4.0	3.0	1.0	1.0
EC__1__13__11__5	9	0	0	0	0	0	0
EC__1__13__11__53	0.0	0.0	0.0	0.0	0.0	0.0	0.8
EC__1__13__11__54	0.0	0.0	0.0	0.0	0.0	0.0	0.8
EC__1__13__11__57	0	0	0	0	0	0	0
EC__1__13__11__79	0	0	0	0	0	0	0
EC__1__13__11__8	0	0	0	0	0	0	0
EC__1__13__11__9	0	0	0	0	0	0	0
EC__1__13__12__16	 8.4	 4.0	50.0	 4.0	12.0	 0.0	 2.0
EC__1__13__12__3	0	0	0	0	0	0	0
EC__1__14__11__17	 0.00	 3.43	 0.00	 0.00	29.21	 0.00	 0.28
EC__1__14__11__2	0	0	0	0	0	0	0
EC__1__14__11__33	 0.00	 3.43	 0.00	 0.00	29.21	 0.00	 1.08
EC__1__14__11__47	 5.67	 6.43	 0.00	 0.00	30.21	 0.00	 1.88
EC__1__14__12__1	0	0	0	0	0	0	0
EC__1__14__12__10	0	0	0	0	0	0	0
EC__1__14__12__17	11.50	58.43	54.00	12.25	54.21	 1.00	24.33
EC__1__14__12__19	 0.00	 6.86	 0.00	 0.00	57.92	 0.00	 0.56
EC__1__14__13__1	0	0	0	0	0	0	0
EC__1__14__13__113	0	0	0	0	0	0	0
EC__1__14__13__114	0	0	0	0	0	0	0
EC__1__14__13__127	 0.00	 3.43	 0.00	 0.00	28.96	 0.00	 0.28
EC__1__14__13__129	9	0	0	0	0	0	0
EC__1__14__13__149	 0.00	 6.86	 0.00	 0.00	57.92	 0.00	 0.56
EC__1__14__13__165	0	0	0	0	0	0	0
EC__1__14__13__2	0	0	0	0	0	0	0
EC__1__14__13__22	0	0	0	0	0	0	0
EC__1__14__13__40	0	0	0	0	0	0	0
EC__1__14__13__59	1.5	0.0	0.0	0.0	0.0	0.0	0.0
EC__1__14__13__7	0	0	0	0	0	0	0
EC__1__14__13__82	0	0	0	0	0	0	0
EC__1__14__13__83	0.5	0.0	0.0	0.0	0.0	0.0	0.0
EC__1__14__13__9	9	0	0	0	0	0	0
EC__1__14__14__5	 0.00	 3.43	 0.00	 0.00	29.21	 0.00	 1.08
EC__1__14__14__9	16.66	51.45	 9.32	18.66	40.21	98.66	48.28
EC__1__14__15__12	0	0	0	0	0	0	0
EC__1__14__15__3	0	0	0	0	0	0	0
EC__1__14__16__1	0	0	0	0	0	0	0
EC__1__14__18__1	0	0	0	0	0	0	0
EC__1__14__19__1	0	0	0	0	0	0	0
EC__1__14__19__2	 0	32	 0	 0	 0	 0	 0
EC__1__14__19__3	9	0	0	0	0	0	0
EC__1__14__20__3	0	0	0	0	0	0	0
EC__1__14__99__44	0	0	0	0	0	0	0
EC__1__14__99__46	 0.00	 3.43	 0.00	 0.00	28.96	 0.00	 0.28
EC__1__14__99__48	0	0	0	2	0	0	0
EC__1__14__99__50	1	0	0	0	0	0	0
EC__1__15__1__1	2544.51	1712.69	2477.93	2403.58	1907.17	3562.15	2347.41
EC__1__15__1__2	3457.56	2993.18	3018.82	3138.16	2794.99	2606.16	3110.33
EC__1__16__1__1	0	0	0	0	0	0	0
EC__1__16__1__10	0	0	0	1	0	0	0
EC__1__16__1__3	 0.00	 3.43	 0.00	 0.00	29.21	 0.00	 1.08
EC__1__16__1__9	 0.00	 3.43	 0.00	 0.00	29.21	 0.00	 1.08
EC__1__16__3__1	 588.14	 982.45	 825.99	1591.58	1452.71	1158.91	2158.08
EC__1__16__3__2	1068.08	1201.77	2472.79	3203.56	2048.70	2780.58	2127.66
EC__1__17__1__1	 5.5	 2.0	50.0	 3.0	12.0	 0.0	 2.0
EC__1__17__1__2	4538.41	4160.77	4766.37	4730.06	4812.19	4397.58	2696.66
EC__1__17__1__4	 632.07	1132.81	 312.94	1277.97	 214.34	1014.97	 424.12
