response	Responder	Responder	Responder	Responder	Responder	Responder	Nonresponder	Nonresponder	Nonresponder	Nonresponder	Nonresponder	Nonresponder
sample	F0098	F0130	F0177	H0086	H0148	H0479	F0066	F0155	F0056	F0100	H0054	H0063
EC__1__1__1__339	  3.25	 16.75	122.00	  4.75	  6.00	 15.00	  3.25	208.25	  7.50	 31.00	 24.00	  6.25
EC__1__1__1__34	0	0	0	0	0	0	0	0	0	0	0	0
EC__1__1__1__342	125.0	 56.5	  0.0	337.0	  0.0	  1.0	150.5	 75.5	  6.0	604.5	  3.0	240.0
EC__1__1__1__343	 470.25	 425.67	 584.94	 695.04	 399.97	 199.89	 257.00	 733.61	 471.44	1124.75	 188.08	 331.67
EC__1__1__1__346	 233.78	 470.75	 529.86	 134.50	 582.03	 344.28	 252.50	 853.00	 789.67	   2.00	1971.66	  91.00
EC__1__1__1__35	 7.61	24.00	25.87	11.66	26.78	11.61	 5.00	 8.33	65.42	45.33	19.16	11.00
EC__1__1__1__350	  1.47	 12.33	 95.44	  5.66	  4.64	 32.72	  1.00	113.33	 37.96	 62.33	 37.28	  8.00
EC__1__1__1__36	0	0	0	0	0	0	0	0	0	0	0	1
EC__1__1__1__363	 303.25	 407.17	 441.94	 599.04	 347.97	 129.89	 235.33	 681.61	 424.45	1114.75	 100.75	 315.00
EC__1__1__1__367	 319.45	 234.37	1181.01	 332.46	1465.75	  17.08	 120.00	 200.34	  73.75	 466.33	1518.00	 390.42
EC__1__1__1__369	 129.25	 896.75	1106.00	 725.25	1123.00	 343.00	 399.75	1133.25	 284.50	 787.50	 219.00	 148.08
EC__1__1__1__37	 451.88	 903.52	 388.43	1502.76	 607.22	 140.59	 477.33	1021.99	 651.71	2258.00	  28.58	 647.67
EC__1__1__1__370	  0	 10	120	  0	  6	  4	  2	206	  0	 30	 24	  6
EC__1__1__1__373	 0.14	 0.00	 3.43	 0.00	 0.89	 4.39	 0.00	 0.00	29.21	 0.00	 0.28	 0.00
EC__1__1__1__38	2960.60	3821.55	3391.52	3165.38	2795.44	3542.57	3504.50	3285.31	3299.41	3319.06	1448.16	2754.80
EC__1__1__1__380	 22.14	 18.00	227.43	  3.00	 21.89	 11.39	  7.00	314.00	 32.21	189.00	 41.08	 10.00
EC__1__1__1__381	 1.14	 7.17	 6.43	 0.00	 0.89	 4.39	 0.00	 0.00	30.21	 0.00	 1.08	 0.00
EC__1__1__1__387	0	0	0	0	0	0	0	0	0	0	0	0
EC__1__1__1__4	22.50	22.83	20.00	 7.00	10.00	 9.17	 4.33	 9.67	 3.66	 3.67	 7.67	22.33
EC__1__1__1__40	 262.76	 441.68	 209.43	 881.21	 309.47	  11.59	 233.83	 516.98	 361.96	1139.75	  19.08	 349.50
EC__1__1__1__41	 477.50	 618.50	 778.33	 427.50	 868.25	 783.75	 382.00	2225.75	 899.25	  32.50	2054.25	 141.00
EC__1__1__1__42	2654.56	3037.91	3154.17	3082.19	1952.44	3344.77	3272.33	2336.94	2841.17	4068.98	 587.25	2885.72
EC__1__1__1__44	 470.25	 425.67	 584.94	 695.04	 399.97	 199.89	 257.00	 733.61	 471.44	1124.75	 188.08	 331.67
EC__1__1__1__47	 58.99	 46.99	159.03	  9.98	 43.50	 99.49	  2.50	182.49	 28.00	301.49	 94.50	 35.00
EC__1__1__1__49	 303.25	 407.17	 441.94	 599.04	 347.97	 129.89	 235.33	 681.61	 424.45	1114.75	 100.75	 315.00
EC__1__1__1__56	0	0	0	0	0	0	0	0	0	0	0	0
EC__1__1__1__57	 399.47	 392.33	 552.77	 833.66	 398.39	1285.72	 837.00	 352.33	1306.21	1991.33	 119.08	 154.00
EC__1__1__1__58	 614.17	 632.67	 742.78	1273.87	 488.14	1291.25	1012.75	1065.97	1577.96	2239.41	 153.08	 471.42
EC__1__1__1__6	2489.63	1404.02	 899.79	1521.98	1931.14	2374.30	1252.33	2249.41	2382.12	1237.66	1104.50	 435.33
EC__1__1__1__60	1294.19	 460.66	2229.88	 369.32	 914.53	1066.44	 272.25	1812.66	1247.42	 774.66	2276.86	 449.00
EC__1__1__1__61	201.14	 28.07	138.43	 17.33	 46.22	 10.89	 14.00	127.67	 36.21	349.00	 90.28	 43.00
EC__1__1__1__67	 2.5	 8.3	 0.0	41.5	 1.0	 7.0	 2.5	 4.5	13.0	 1.0	 1.0	 0.5
EC__1__1__1__69	1025.33	2207.31	1115.46	2330.69	1648.14	2232.41	1852.25	1718.63	2141.71	4005.07	1078.78	 665.42
EC__1__1__1__76	 83.30	 91.46	140.24	 22.06	  7.80	 59.60	  2.33	 43.90	139.46	 40.40	 33.47	 12.13
EC__1__1__1__77	1038.22	2312.20	2636.27	2331.58	1850.14	2985.72	2046.75	3599.08	3307.04	3423.08	2290.78	1100.92
EC__1__1__1__79	 0.14	 1.00	 3.43	 5.00	 0.89	 4.39	 0.00	 0.00	29.21	 0.00	 1.08	 0.00
EC__1__1__1__81	  55.14	  31.50	1028.76	 167.00	  61.89	  28.39	  64.00	  90.00	  53.21	  90.00	  60.08	 358.00
EC__1__1__1__83	 2.47	 6.33	24.44	 2.66	 1.64	17.72	 0.00	 8.33	33.96	38.33	21.28	 4.00
EC__1__1__1__85	3177.30	4368.90	4001.01	4048.43	3081.77	3936.85	3728.91	4629.96	3741.75	4391.98	2674.25	3077.30
EC__1__1__1__86	3077.97	4723.57	3866.00	3996.77	2967.27	3928.27	3722.91	4482.63	3736.41	4167.65	2616.25	3082.30
EC__1__1__1__88	 96.13	 88.16	145.23	  2.40	 35.80	 84.77	  0.33	 41.90	212.46	 82.07	 27.67	 20.13
EC__1__1__1__9	0	0	0	0	1	0	0	0	0	0	0	0
EC__1__1__1__90	 3.33	 6.33	31.01	 3.66	10.00	 6.33	 0.00	 8.33	 8.00	37.33	18.00	 3.00
EC__1__1__1__91	0	2	0	5	0	6	0	0	0	0	1	0
EC__1__1__1__93	 2.47	 6.33	24.44	 2.66	 1.64	17.72	 0.00	 8.33	33.96	38.33	21.28	 4.00
EC__1__1__1__94	3261.72	4314.07	4071.33	4176.77	3529.52	4263.69	3672.33	4593.96	4069.32	4235.65	2706.33	3069.80
EC__1__1__1__95	4760.29	6226.96	6668.89	6472.56	5159.10	6278.50	5332.75	7390.51	5809.33	7704.96	4213.16	4169.47
EC__1__1__2__3	 2.14	10.67	 4.43	 0.00	 1.89	12.89	 0.00	 2.00	29.21	 1.00	 2.08	 1.00
EC__1__1__2__4	  4.0	  7.0	  0.0	 87.5	  0.0	141.5	  9.5	  1.0	160.0	 16.0	  2.0	  7.5
EC__1__1__2__8	0	0	0	0	0	0	0	0	0	0	0	0
EC__1__1__3__15	 277.22	1117.93	 135.27	 463.99	1366.14	 579.22	 436.58	  56.08	 557.21	 159.33	 172.03	 142.00
EC__1__1__3__21	15.16	 2.50	32.00	 0.00	 9.00	11.83	 0.00	 9.50	 5.33	 1.00	 6.67	 2.00
EC__1__1__3__46	0	0	0	0	0	0	0	0	0	0	0	0
EC__1__1__3__48	4.0	0.4	0.0	0.0	0.0	2.0	0.0	1.0	1.0	0.0	7.0	0.0
EC__1__1__3__6	0	0	0	0	0	0	0	0	0	0	0	0
EC__1__1__5__2	 0.14	 1.50	 3.43	 0.00	 0.89	 4.39	 0.00	 0.00	29.21	 0.00	 1.08	 0.00
EC__1__1__5__3	2182.30	2617.58	3178.75	2561.55	2195.63	2967.55	1946.75	4301.17	2573.17	2630.99	2062.82	 928.25
EC__1__1__5__4	 2.14	 9.67	 4.43	 0.00	 0.89	 6.89	 0.00	 2.00	29.21	 1.00	 1.88	 1.00
EC__1__1__5__6	 0.28	 0.00	 6.86	 0.00	 1.78	 8.78	 0.00	 0.00	58.42	 0.00	 2.16	 0.00
EC__1__1__5__8	0.0	1.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
EC__1__1__9__1	0	0	0	0	0	0	0	0	0	0	0	0
EC__1__1__98__3	0.0	0.5	0.0	0.0	0.0	2.5	0.0	0.0	0.0	0.0	0.0	0.0
EC__1__1__99__1	 0.14	 0.00	 3.43	 0.00	 0.89	 4.39	 0.00	 0.00	29.21	 0.00	 1.08	 0.00
EC__1__1__99__3	0	0	0	0	0	0	0	0	0	0	0	0
EC__1__10__2__2	0	0	0	0	0	0	0	0	0	0	0	1
EC__1__10__3__12	0	0	0	0	0	0	0	0	0	0	0	0
EC__1__10__3__3	0	0	0	0	0	0	0	0	0	0	0	0
EC__1__11__1__1	 7	 7	19	 0	11	 6	 0	 3	 4	 0	 8	 7
EC__1__11__1__10	1127.72	 159.67	 710.06	 213.40	  48.55	 525.35	 175.75	1011.80	 887.55	  35.40	1308.75	  65.30
EC__1__11__1__15	4983.04	4914.68	4862.27	5291.75	4232.59	4355.98	3285.50	7490.70	5020.86	6522.21	4625.12	2301.11
EC__1__11__1__19	2.0	2.5	1.0	0.0	0.0	2.0	0.0	2.0	0.0	1.0	0.0	1.0
EC__1__11__1__21	135.39	 14.67	  3.43	  0.00	  2.39	 19.14	  7.50	  0.00	 36.71	  0.00	  1.08	 19.00
EC__1__11__1__5	 26.51	 68.46	168.43	 67.38	  6.14	  7.14	 16.58	 24.76	 51.46	  3.00	  4.28	 10.17
EC__1__11__1__6	831.64	158.64	275.09	298.75	 80.39	122.14	 47.83	152.75	 82.71	124.75	 24.58	 35.92
EC__1__11__1__9	1408.05	1189.96	1535.26	1093.25	 522.64	1442.54	1548.25	1531.52	 820.44	1257.92	 983.13	2189.58
EC__1__11__2__4	11.00	 0.00	29.33	 0.00	 1.00	 0.00	 4.00	 2.00	 2.00	 3.00	 0.00	 0.00
EC__1__12__1__2	0	0	0	0	0	0	0	0	0	0	0	0
EC__1__12__1__3	2761.71	6492.37	9549.88	6535.73	6579.32	3991.98	3917.75	5732.95	3546.83	5238.23	8932.00	3632.93
EC__1__12__2__1	 8	 0	 0	 0	 0	 4	 0	 2	 2	 0	14	 0
EC__1__12__7__2	 508.00	 590.00	 659.33	 613.00	1212.25	 669.75	 535.00	 478.25	 413.25	 122.00	 924.75	 240.50
EC__1__12__98__1	30.25	 3.75	 0.00	58.75	24.00	 0.00	 1.25	 2.25	 2.50	 0.00	 0.00	 0.25
EC__1__12__99__6	2406.80	 114.42	 103.72	 130.26	  35.06	 259.06	  13.66	  74.52	 200.34	  23.00	  23.72	  27.84
EC__1__13__11__1	0	0	0	0	0	0	0	0	0	0	0	0
EC__1__13__11__11	0	9	0	0	0	0	0	0	0	0	0	0
EC__1__13__11__15	 0.14	 0.00	 3.43	 0.00	 0.89	 4.14	 0.00	 0.00	29.21	 0.00	 0.28	 0.00
EC__1__13__11__16	 0.14	 0.00	 3.43	 0.00	 0.64	 4.39	 0.00	 0.00	28.96	 0.00	 0.28	 0.00
EC__1__13__11__2	 67.13	 64.50	133.23	  1.40	 20.80	 75.10	  0.00	 17.23	132.13	  2.40	 16.67	  7.80
EC__1__13__11__20	0	0	0	0	0	0	0	0	0	0	0	0
EC__1__13__11__27	0	9	0	0	0	0	0	0	0	0	0	0
EC__1__13__11__3	0	0	0	0	0	0	0	0	0	0	0	0
EC__1__13__11__4	142.00	298.00	142.00	115.00	427.00	133.25	131.00	 44.00	126.00	 41.00	115.00	 43.00
EC__1__13__11__49	3.0	4.5	1.0	1.0	1.0	8.5	1.0	4.0	3.0	1.0	1.0	1.0
EC__1__13__11__5	0	9	0	0	0	0	0	0	0	0	0	0
EC__1__13__11__53	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8	0.0
EC__1__13__11__54	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8	0.0
EC__1__13__11__57	0	0	0	0	0	0	0	0	0	0	0	0
EC__1__13__11__79	0	0	0	0	0	0	0	0	0	0	0	0
EC__1__13__11__8	0	0	0	0	0	0	0	0	0	0	0	0
EC__1__13__11__9	0	0	0	0	0	0	0	0	0	0	0	0
EC__1__13__12__16	21.00	 8.40	 4.00	50.00	 1.50	 3.25	 1.50	 4.00	12.00	 0.00	 2.00	16.00
EC__1__13__12__3	0	0	0	0	0	0	0	0	0	0	0	0
EC__1__14__11__17	 0.14	 0.00	 3.43	 0.00	 0.89	 4.39	 0.00	 0.00	29.21	 0.00	 0.28	 0.00
EC__1__14__11__2	0	0	0	0	0	0	0	0	0	0	0	0
EC__1__14__11__33	 0.14	 0.00	 3.43	 0.00	 0.89	 4.39	 0.00	 0.00	29.21	 0.00	 1.08	 0.00
EC__1__14__11__47	 1.14	 5.67	 6.43	 0.00	 0.89	 4.39	 0.00	 0.00	30.21	 0.00	 1.88	 0.00
EC__1__14__12__1	0	0	0	0	0	0	0	0	0	0	0	0
EC__1__14__12__10	0	0	0	0	0	0	0	0	0	0	0	0
EC__1__14__12__17	1704.64	  11.50	  58.43	  54.00	  45.14	 125.39	   6.75	  12.25	  54.21	   1.00	  24.33	  30.75
EC__1__14__12__19	 0.28	 0.00	 6.86	 0.00	 1.28	 8.78	 0.00	 0.00	57.92	 0.00	 0.56	 0.00
EC__1__14__13__1	0.00	0.00	0.00	0.00	0.00	0.25	0.00	0.00	0.00	0.00	0.00	0.00
EC__1__14__13__113	0	0	0	0	0	0	0	0	0	0	0	0
EC__1__14__13__114	0	0	0	0	0	0	0	0	0	0	0	0
