	F0008	F0014	F0026	F0032	F0052	F0056	F0058	F0066	F0076	F0078	F0082	F0084	F0098	F0099	F0100	F0117	F0130	F0138	F0139	F0141	F0145	F0148	F0153	F0155	F0170	F0171	F0177	F0181	H0001	H0013	H0020	H0054	H0055	H0060	H0063	H0065	H0070	H0074	H0085	H0086	H0148	H0149	H0172	H0180	H0202	H0210	H0211	H0270	H0277	H0280	H0281	H0289	H0303	H0322	H0323	H0349	H0368	H0372	H0377	H0391	H0392	H0407	H0427	H0447	H0456	H0475	H0479	H0741
H0001	1.695454248	1.611672278	1.403467332	1.348913298	1.61105691	1.337627116	1.677499446	1.53325447	1.59978753	1.576309832	2.098259442	1.792422718	1.887257178	1.402599876	1.61177521	1.850014396	1.387054026	1.257628932	1.730721402	1.541447592	1.714570398	1.653808262	1.347425522	1.559118472	1.651026246	1.797094678	1.566844436	1.490848278	0.0	1.52740576	1.993559014	2.052001202	1.588794014	1.53078051	1.934769748	1.753555332	1.90333961	2.386882168	1.608429456	1.54848035	1.721722786	1.418324816	2.059341778	1.646810752	1.75870946	1.34344506	1.55651635	1.234712624	1.61088351	1.32939762	2.102699958	1.860199922	1.244242088	1.660829648	1.941171374	1.579296666	1.444288924	1.63685897	1.457975404	1.188775616	1.391855228	1.330869034	1.64100486	1.510039994	1.706879136	1.968061676	1.3313092	1.174246022
H0013	1.356781868	1.115679562	0.959175264	0.94853837	1.289351954	1.251771776	0.527542054	0.974778706	0.958626834	1.00072764	1.960901602	1.266710846	1.378715906	1.068314672	1.591334154	1.787317184	1.034434182	1.483952252	1.29333601	1.1149091	1.084118626	1.047398834	1.405007402	1.356562412	1.301270102	1.211574206	1.27593002	1.133069042	1.52740576	0.0	1.673861846	1.90954053	1.213457366	1.93453359	1.352913412	1.40904934	1.57017361	2.283596728	1.312948696	0.609856918	1.442054554	1.321024296	1.838705394	1.188126748	1.130474112	0.911128356	0.71476917	1.749083636	0.945610226	0.837633572	1.874053918	1.57953573	1.22847526	1.030021384	1.42036085	1.26151991	1.661700172	0.813393958	1.097370232	1.365853412	1.296637436	1.37556979	1.265914964	0.765454222	0.54213806	1.653523728	1.475770232	1.265519718
H0020	1.697277774	1.526599452	1.338817382	1.585901404	1.371556692	1.817614762	1.780343832	1.160673124	1.444137172	1.678314186	1.50210648	1.391021464	1.296343956	1.44917177	2.27743532	2.287309486	1.572956716	1.937300986	0.819281008	1.739114346	1.482414356	1.12207484	1.781150484	1.590276034	1.25244956	1.41982752	1.281472438	1.37794632	1.993559014	1.673861846	0.0	1.542699828	1.256208884	2.406044524	0.52002739	1.724716406	1.644361928	1.861728934	1.475668738	1.726160852	1.630885828	1.854328666	1.7123982	1.206612222	1.55343861	1.811280526	1.537017052	2.137766554	1.494531516	1.685351318	1.632046084	1.327063332	1.753943174	1.560813902	1.558634352	1.65397616	2.026064266	1.798014456	1.790418418	1.977537814	1.807857706	1.767132328	1.303103186	1.758109996	1.711684774	1.79870105	1.932072094	1.895336252
H0054	1.831828458	1.765269172	1.69959699	1.671092664	1.642075664	1.785015614	2.01727122	1.6909344	1.804205972	1.958063054	1.551231372	1.704143732	1.605922804	1.641838422	2.40867094	2.32790401	1.75246128	1.694964626	1.536130076	1.523764162	1.731485668	1.661683604	1.493655396	1.409216342	1.291660992	1.653482076	1.501468766	1.586090096	2.052001202	1.90954053	1.542699828	0.0	1.611594516	2.313803576	1.601325646	1.788875906	1.775961936	1.38428129	1.710915834	1.9497711	0.8816138	1.925813642	1.586604752	1.589281622	1.777501646	2.009588766	1.941866948	2.091575366	1.821494956	1.961645794	1.563299352	1.537786396	1.704518398	1.793038254	1.822014836	1.875021224	2.096852578	2.100831012	1.946583918	1.988275918	2.000468082	1.77437638	1.581349362	1.987917536	1.96429977	1.879839698	1.915404858	1.837122092
H0055	1.305428554	1.0757511	1.00910133	1.154833644	0.569919092	1.413753854	1.284469444	0.94083598	1.095611032	1.308047442	1.596229636	1.069996636	1.216295688	1.143333818	1.971211948	1.967831286	1.073454292	1.609033118	0.985916144	1.37747237	1.076340224	0.97988116	1.42633232	1.310925546	1.158636132	1.097324228	1.105726862	1.174044572	1.588794014	1.213457366	1.256208884	1.611594516	0.0	1.996686108	1.140143214	1.313005686	1.305297348	1.927422814	0.630279238	1.219680052	1.216988892	1.450976294	1.525158184	0.36721523	1.185242294	1.323293258	1.244728668	1.815732434	1.113211768	1.268875898	1.55973456	0.638405492	1.322581854	1.13616747	1.248952496	1.305501296	1.729863238	1.380091584	1.30367873	1.547487238	1.390627942	1.433539236	0.44237141	1.231789252	1.266487414	1.439715626	1.57991413	1.46856726
H0060	2.121811326	2.040379972	1.911162142	1.7198269	2.018969652	1.806401526	2.039102868	1.997238956	1.95560488	2.013778998	2.40238944	2.15218718	2.242405688	1.921898686	1.964459932	2.136518806	1.815642864	1.472315538	2.10759554	1.85339209	2.087373352	2.090201828	1.755259924	1.74983457	1.924387148	2.141633572	1.940937002	1.898441508	1.53078051	1.93453359	2.406044524	2.313803576	1.996686108	0.0	2.342571134	1.967868466	2.300114504	2.370784534	2.027199198	1.975777276	1.984079708	1.900817862	2.243598004	2.028539846	2.086430598	1.762134142	1.9787115	1.531801234	1.96827854	1.79140763	2.145114544	2.13056182	1.775285106	2.014935642	2.373897744	2.141608228	1.97309221	2.003718592	1.837044458	1.698440026	1.817981382	1.95820592	1.990357914	1.885542924	2.054306158	2.304995902	1.73988805	1.394918
H0063	1.567851004	1.316855606	1.180979036	1.41219783	1.343298818	1.633794224	1.403915954	0.928990234	1.106100442	1.344477168	1.62500495	1.185037202	1.089347286	1.194744388	1.98792003	1.993968892	1.485256666	1.824951904	0.743297478	1.401757924	1.137279786	0.819717362	1.68798245	1.489388484	1.11928189	1.085631678	1.144472984	1.320319082	1.934769748	1.352913412	0.52002739	1.601325646	1.140143214	2.342571134	0.0	1.490797332	1.454928486	1.971132888	1.426044104	1.38454603	1.561946466	1.754903836	1.66197375	1.102930396	1.233339804	1.474319192	1.152406166	2.089172412	1.224208618	1.346242916	1.638450534	1.31922427	1.577084204	1.244659416	1.351593926	1.286769186	2.000517732	1.464704218	1.634000944	1.87772626	1.664519424	1.651359614	1.174478956	1.649105514	1.494683856	1.694146868	1.839172956	1.691592986
H0065	1.072548072	1.045579534	1.375611244	1.426985398	1.436187094	1.477391756	1.401516682	1.438630534	1.485184458	1.442928468	1.78813975	0.804923394	1.228692422	1.244508956	2.066023122	1.914506116	1.330994578	1.617006368	1.497022638	1.412986988	1.092698682	1.312613994	1.298747594	1.247673392	1.375833498	1.003230622	1.306676848	1.538466614	1.753555332	1.40904934	1.724716406	1.788875906	1.313005686	1.967868466	1.490797332	0.0	0.981774798	2.068367912	1.466349132	1.461363518	1.474592622	1.357071328	0.953759074	1.319886172	1.122847992	1.623822864	1.353320426	1.845608232	0.995521606	1.53192878	1.122290654	1.580309998	1.182869224	1.17252826	1.046052546	1.386530738	1.846494908	1.506602126	1.201308988	1.73259228	1.39242638	1.53410291	1.228812264	1.426556558	1.503532928	1.022800028	1.59866716	1.44227445
H0070	0.875532818	1.181049552	1.247942434	1.509359792	1.436130292	1.517848206	1.605443988	1.366223112	1.609975248	1.613863062	1.731190728	0.763175568	1.28961678	1.377388274	2.309166348	2.221887042	1.45355066	1.88213437	1.339361456	1.67799853	1.273357836	1.414470796	1.377071108	1.613051294	1.394207528	1.199198436	1.376274758	1.53371902	1.90333961	1.57017361	1.644361928	1.775961936	1.305297348	2.300114504	1.454928486	0.981774798	0.0	2.143564658	1.485036762	1.516844988	1.52698204	1.320063022	1.008720596	1.333830198	1.381261446	1.767502446	1.578290732	2.02504721	1.204689108	1.679045486	1.040759168	1.535636756	1.26241281	1.450571738	0.475021768	1.699473072	1.975856166	1.776765688	1.41501541	1.770118938	1.61417641	1.689058424	1.298510178	1.599619512	1.617068998	0.55795829	1.49762591	1.66083096
H0074	2.276229424	2.112282502	2.129903904	2.112543202	1.983553422	2.195343856	2.366378942	2.087857982	2.198200374	2.279689436	1.923980406	2.038049866	2.061227026	2.115820956	2.713020662	2.637770084	2.078432414	2.210654168	1.892565742	2.030208764	2.066629078	2.062409858	2.126683342	1.721562116	1.898077066	1.98112003	1.934458176	2.041170162	2.386882168	2.283596728	1.861728934	1.38428129	1.927422814	2.370784534	1.971132888	2.068367912	2.143564658	0.0	2.046823652	2.281136694	1.773237578	2.352719984	1.83580409	1.948447408	2.077020824	2.370088852	2.296968406	2.340169768	2.197517946	2.300781208	1.730759214	1.85594237	2.155428376	2.10417474	2.17368659	2.219168302	2.447434596	2.401751006	2.309136844	2.38639238	2.318062612	2.247885206	1.908114248	2.299105078	2.309228868	2.263277188	2.358975836	2.254845982
