	F0008	F0014	F0026	F0032	F0052	F0056	F0058	F0066	F0076	F0078	F0082	F0084	F0098	F0099	F0100	F0117	F0130	F0138	F0139	F0141	F0145	F0148	F0153	F0155	F0170	F0171	F0177	F0181	H0001	H0013	H0020	H0054	H0055	H0060	H0063	H0065	H0070	H0074	H0085	H0086	H0148	H0149	H0172	H0180	H0202	H0210	H0211	H0270	H0277	H0280	H0281	H0289	H0303	H0322	H0323	H0349	H0368	H0372	H0377	H0391	H0392	H0407	H0427	H0447	H0456	H0475	H0479	H0741
H0211	0.7432	0.6862	0.5652	0.7344	0.8634	0.8366	0.4404	0.5712	0.6586	0.6018	0.9872	0.6308	0.6424	0.7254	0.8184	0.885	0.7962	0.9356	0.6918	0.8876	0.6112	0.6028	0.7934	0.8122	0.681	0.6456	0.7712	0.6808	0.8916	0.4754	0.7374	0.9328	0.8276	0.9454	0.6192	0.7896	0.7754	0.9368	0.8672	0.5296	0.889	0.8206	0.8602	0.7846	0.6012	0.7398	0.0	0.938	0.6192	0.5614	0.8494	0.916	0.7858	0.6514	0.6958	0.7812	0.9034	0.4072	0.7582	0.826	0.7638	0.9438	0.7994	0.613	0.5114	0.8148	0.9022	0.9186
H0270	0.8426	0.913	0.8718	0.8428	0.9582	0.7308	0.9236	0.902	0.905	0.9022	0.9724	0.9206	0.8982	0.8058	0.8946	0.8164	0.8092	0.862	0.9114	0.8932	0.9384	0.9252	0.7958	0.847	0.8672	0.9518	0.9184	0.8862	0.7282	0.9102	0.9584	0.9528	0.9466	0.8234	0.9418	0.9012	0.9072	0.9544	0.9562	0.9148	0.9526	0.7582	0.942	0.9626	0.933	0.8218	0.938	0.0	0.8946	0.8244	0.9524	0.9692	0.7716	0.9196	0.9308	0.8606	0.5822	0.9314	0.7838	0.7356	0.8268	0.905	0.9568	0.9132	0.9272	0.8952	0.7706	0.8896
H0277	0.6504	0.7248	0.568	0.653	0.838	0.7016	0.6602	0.6062	0.6504	0.6258	0.9372	0.5154	0.6766	0.737	0.8588	0.8288	0.7294	0.8786	0.6642	0.8466	0.6784	0.5948	0.7976	0.7632	0.6632	0.6628	0.7174	0.6498	0.8336	0.6452	0.7412	0.9018	0.7854	0.8762	0.6572	0.556	0.5876	0.9324	0.844	0.701	0.8308	0.7418	0.714	0.7406	0.666	0.749	0.6192	0.8946	0.0	0.6682	0.7626	0.899	0.7496	0.6952	0.5796	0.7864	0.8638	0.6892	0.6156	0.7702	0.6646	0.8846	0.7536	0.7102	0.658	0.6652	0.8036	0.8304
H0280	0.7032	0.6748	0.64	0.663	0.8224	0.7118	0.538	0.6096	0.6616	0.6096	0.9868	0.6798	0.742	0.725	0.8124	0.8674	0.7166	0.8898	0.728	0.8724	0.6552	0.6382	0.7712	0.758	0.732	0.6788	0.8188	0.6832	0.8438	0.535	0.8326	0.93	0.7996	0.9084	0.724	0.8072	0.798	0.9348	0.8488	0.5596	0.8434	0.7052	0.8728	0.7748	0.647	0.6506	0.5614	0.8244	0.6682	0.0	0.8634	0.8868	0.7582	0.6382	0.7164	0.7774	0.767	0.5646	0.65	0.6612	0.6792	0.937	0.7714	0.649	0.5698	0.8094	0.7938	0.8924
H0281	0.8068	0.8216	0.8212	0.8972	0.8976	0.8862	0.827	0.8878	0.9006	0.8772	0.973	0.6204	0.8172	0.8828	0.956	0.9552	0.8742	0.922	0.9156	0.924	0.8102	0.8792	0.7772	0.9294	0.8838	0.8462	0.9342	0.9104	0.9124	0.8578	0.9364	0.9514	0.9044	0.8306	0.9024	0.649	0.6236	0.918	0.8766	0.8608	0.8788	0.7962	0.6182	0.8872	0.8398	0.8932	0.8494	0.9524	0.7626	0.8634	0.0	0.9252	0.8082	0.856	0.6452	0.915	0.9344	0.8814	0.829	0.8452	0.8452	0.9358	0.9084	0.8518	0.868	0.5886	0.8934	0.939
H0289	0.9056	0.8884	0.8672	0.9064	0.451	0.931	0.8802	0.8784	0.9014	0.889	0.991	0.8968	0.9392	0.9466	0.9672	0.9662	0.8668	0.9458	0.8884	0.9396	0.8916	0.8946	0.9416	0.94	0.9348	0.9018	0.965	0.8984	0.9346	0.8888	0.9464	0.9674	0.3724	0.96	0.9334	0.9132	0.902	0.9584	0.4412	0.8874	0.8926	0.9128	0.9282	0.4114	0.8932	0.9042	0.916	0.9692	0.899	0.8868	0.9252	0.0	0.9266	0.8966	0.8944	0.9404	0.9584	0.9128	0.9066	0.9022	0.9132	0.9588	0.4924	0.8858	0.8946	0.917	0.9414	0.9412
H0303	0.6344	0.6976	0.697	0.707	0.892	0.786	0.7628	0.7832	0.8044	0.7832	0.9618	0.5806	0.723	0.563	0.903	0.8704	0.7336	0.825	0.8366	0.7868	0.7386	0.8126	0.5998	0.7906	0.7126	0.7568	0.6422	0.8258	0.745	0.766	0.8972	0.8154	0.8568	0.8844	0.8046	0.6904	0.6792	0.9324	0.8742	0.763	0.8048	0.6298	0.7838	0.88	0.7222	0.686	0.7858	0.7716	0.7496	0.7582	0.8082	0.9266	0.0	0.7452	0.719	0.733	0.7476	0.824	0.7392	0.687	0.6776	0.7952	0.8448	0.7588	0.785	0.6908	0.6018	0.7396
H0322	0.6484	0.4354	0.6398	0.7504	0.8278	0.8438	0.6634	0.6238	0.7374	0.3918	0.9888	0.654	0.6638	0.6986	0.9036	0.9382	0.7974	0.9398	0.7706	0.8898	0.364	0.6452	0.7786	0.7086	0.7422	0.384	0.7672	0.7294	0.8662	0.6444	0.817	0.92	0.808	0.9382	0.7634	0.7604	0.803	0.9354	0.8552	0.7222	0.8718	0.7748	0.7772	0.7534	0.2692	0.7126	0.6514	0.9196	0.6952	0.6382	0.856	0.8966	0.7452	0.0	0.718	0.8314	0.9028	0.7044	0.7038	0.777	0.7442	0.9448	0.7836	0.7064	0.6842	0.756	0.801	0.915
H0323	0.6852	0.7054	0.6056	0.747	0.844	0.7896	0.6626	0.6886	0.7656	0.7048	0.9694	0.4278	0.659	0.74	0.9076	0.926	0.8036	0.8952	0.7778	0.8932	0.6528	0.669	0.6898	0.814	0.7546	0.6802	0.8018	0.7368	0.8566	0.6942	0.811	0.921	0.791	0.9264	0.742	0.5892	0.3004	0.9274	0.8584	0.7492	0.835	0.7462	0.5476	0.7396	0.6752	0.766	0.6958	0.9308	0.5796	0.7164	0.6452	0.8944	0.719	0.718	0.0	0.8308	0.9188	0.7252	0.736	0.785	0.7142	0.9064	0.7636	0.7308	0.7134	0.4202	0.8696	0.8838
H0349	0.8274	0.8406	0.8556	0.8418	0.9162	0.885	0.757	0.8394	0.7996	0.806	0.9612	0.6898	0.8368	0.7168	0.7036	0.819	0.8186	0.9232	0.8902	0.8922	0.8	0.7268	0.8452	0.827	0.8578	0.8058	0.6646	0.8478	0.7408	0.7778	0.8892	0.9166	0.8714	0.9092	0.7572	0.754	0.8458	0.9534	0.9118	0.7432	0.865	0.9008	0.9042	0.8654	0.8178	0.8144	0.7812	0.8606	0.7864	0.7774	0.915	0.9404	0.733	0.8314	0.8308	0.0	0.8868	0.7524	0.838	0.8844	0.7376	0.659	0.83	0.8322	0.835	0.8834	0.9452	0.9522
