response	Responder	Responder	Responder	Nonresponder	Nonresponder	Nonresponder	Nonresponder
sample	F0130	F0177	H0086	F0155	F0056	F0100	H0054
k_Bacteria__p_Proteobacteria__c_Betaproteobacteria__o_Burkholderiales__f_Oxalobacteraceae	0.02	0.00	0.10	0.00	0.00	0.00	0.00
k_Bacteria__p_Proteobacteria__c_Betaproteobacteria__o_Burkholderiales__f_Sutterellaceae	0.20	0.04	1.02	0.06	0.24	0.00	0.04
k_Bacteria__p_Proteobacteria__c_Betaproteobacteria__o_Burkholderiales__f_unassigned	0	0	0	0	0	0	0
k_Bacteria__p_Proteobacteria__c_Betaproteobacteria__o_Neisseriales__f_Neisseriaceae	0	0	0	0	0	0	0
k_Bacteria__p_Proteobacteria__c_Deltaproteobacteria__o_Desulfovibrionales__f_Desulfovibrionaceae	0.00	0.00	0.00	0.02	0.02	0.00	0.14
k_Bacteria__p_Proteobacteria__c_Epsilonproteobacteria__o_Campylobacterales__f_Campylobacteraceae	0	0	0	0	0	0	0
k_Bacteria__p_Proteobacteria__c_Gammaproteobacteria__o_Enterobacteriales__f_Enterobacteriaceae	0.00	0.42	0.00	0.00	3.24	0.00	0.12
k_Bacteria__p_Proteobacteria__c_Gammaproteobacteria__o_Pasteurellales__f_Pasteurellaceae	0.00	0.06	0.00	0.00	0.02	0.00	0.00
k_Bacteria__p_Proteobacteria__c_Gammaproteobacteria__o_Pseudomonadales__f_Pseudomonadaceae	0	0	0	0	0	0	0
k_Bacteria__p_Proteobacteria__c_unassigned__o_unassigned__f_unassigned	0	0	0	0	0	0	0
k_Bacteria__p_Spirochaetes__c_Spirochaetes__o_Spirochaetales__f_Spirochaetaceae	0	0	0	0	0	0	0
k_Bacteria__p_Synergistetes__c_Synergistia__o_Synergistales__f_Synergistaceae	0.04	0.00	0.00	0.00	0.00	0.00	0.00
k_Bacteria__p_TM7__c_Incertae_sedis__o_Incertae_sedis__f_Incertae_sedis	0	0	0	0	0	0	0
k_Bacteria__p_Verrucomicrobia__c_Verrucomicrobiae__o_Verrucomicrobiales__f_Verrucomicrobiaceae	0.00	0.00	0.08	0.00	0.00	0.18	0.00
k_Bacteria__p_unassigned__c_unassigned__o_unassigned__f_unassigned	9.26	4.38	2.82	0.26	0.14	0.00	0.02
