response	Responder	Responder	Responder	Responder	Responder	Responder	Nonresponder	Nonresponder	Nonresponder	Nonresponder	Nonresponder	Nonresponder
sample	F0098	F0130	F0177	H0086	H0148	H0479	F0066	F0155	F0056	F0100	H0054	H0063
k_Bacteria__p_Firmicutes__c_Bacilli__o_Bacillales__f_Bacillaceae_1__g_Bacillus	0	0	0	0	0	0	0	0	0	0	0	0
k_Bacteria__p_Firmicutes__c_Bacilli__o_Bacillales__f_Bacillaceae_2__g_Gracilibacillus	0	0	0	0	0	0	0	0	0	0	0	0
k_Bacteria__p_Firmicutes__c_Bacilli__o_Bacillales__f_Bacillales_Incertae_Sedis_XI__g_Gemella	0.00	0.02	0.00	0.00	0.00	0.04	0.00	0.02	0.00	0.00	0.00	0.00
k_Bacteria__p_Firmicutes__c_Bacilli__o_Bacillales__f_Bacillales_Incertae_Sedis_XII__g_Exiguobacterium	0	0	0	0	0	0	0	0	0	0	0	0
k_Bacteria__p_Firmicutes__c_Bacilli__o_Bacillales__f_Listeriaceae__g_Brochothrix	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.02	0.00	0.00	0.00	0.00
k_Bacteria__p_Firmicutes__c_Bacilli__o_Bacillales__f_Listeriaceae__g_Listeria	0	0	0	0	0	0	0	0	0	0	0	0
k_Bacteria__p_Firmicutes__c_Bacilli__o_Bacillales__f_Paenibacillaceae_1__g_Cohnella	0	0	0	0	0	0	0	0	0	0	0	0
k_Bacteria__p_Firmicutes__c_Bacilli__o_Bacillales__f_Paenibacillaceae_1__g_Paenibacillus	0	0	0	0	0	0	0	0	0	0	0	0
k_Bacteria__p_Firmicutes__c_Bacilli__o_Bacillales__f_Planococcaceae__g_Paenisporosarcina	0	0	0	0	0	0	0	0	0	0	0	0
k_Bacteria__p_Firmicutes__c_Bacilli__o_Bacillales__f_Staphylococcaceae__g_Jeotgalicoccus	0	0	0	0	0	0	0	0	0	0	0	0
