response	Responder	Responder	Responder	Nonresponder	Nonresponder	Nonresponder	Nonresponder
sample	F0130	F0177	H0086	F0155	F0056	F0100	H0054
k_Bacteria__p_Firmicutes__c_Bacilli__o_Lactobacillales__f_unassigned__g_unassigned	0.00	0.00	0.00	0.02	0.00	0.00	0.00
k_Bacteria__p_Firmicutes__c_Bacilli__o_unassigned__f_unassigned__g_unassigned	0.08	1.12	0.04	0.50	0.04	0.00	0.78
k_Bacteria__p_Firmicutes__c_Clostridia__o_Clostridiales__f_Clostridiaceae_1__g_Anaerosporobacter	0.78	0.30	0.12	0.00	0.00	0.00	0.00
k_Bacteria__p_Firmicutes__c_Clostridia__o_Clostridiales__f_Clostridiaceae_1__g_Clostridium_sensu_stricto	0.02	0.04	2.18	0.00	0.04	0.00	0.00
k_Bacteria__p_Firmicutes__c_Clostridia__o_Clostridiales__f_Clostridiaceae_1__g_unassigned	0.00	0.00	0.04	0.00	0.00	0.00	0.00
k_Bacteria__p_Firmicutes__c_Clostridia__o_Clostridiales__f_Clostridiaceae_2__g_Anaerovirgula	0	0	0	0	0	0	0
k_Bacteria__p_Firmicutes__c_Clostridia__o_Clostridiales__f_Clostridiaceae_4__g_Geosporobacter	0	0	0	0	0	0	0
k_Bacteria__p_Firmicutes__c_Clostridia__o_Clostridiales__f_Clostridiales_Incertae_Sedis_IV__g_Mahella	0.04	0.18	0.02	0.00	0.00	0.00	0.00
k_Bacteria__p_Firmicutes__c_Clostridia__o_Clostridiales__f_Clostridiales_Incertae_Sedis_XI__g_Anaerococcus	0	0	0	0	0	0	0
k_Bacteria__p_Firmicutes__c_Clostridia__o_Clostridiales__f_Clostridiales_Incertae_Sedis_XI__g_Finegoldia	0	0	0	0	0	0	0
k_Bacteria__p_Firmicutes__c_Clostridia__o_Clostridiales__f_Clostridiales_Incertae_Sedis_XI__g_Parvimonas	0.00	0.00	0.00	0.00	0.02	0.00	0.00
k_Bacteria__p_Firmicutes__c_Clostridia__o_Clostridiales__f_Clostridiales_Incertae_Sedis_XI__g_Peptoniphilus	0	0	0	0	0	0	0
k_Bacteria__p_Firmicutes__c_Clostridia__o_Clostridiales__f_Clostridiales_Incertae_Sedis_XII__g_Fusibacter	0.12	0.00	0.02	0.00	0.00	0.00	0.00
k_Bacteria__p_Firmicutes__c_Clostridia__o_Clostridiales__f_Clostridiales_Incertae_Sedis_XIII__g_Anaerovorax	0	0	0	0	0	0	0
