response	Responder	Responder	Responder	Nonresponder	Nonresponder	Nonresponder	Nonresponder
sample	F0130	F0177	H0086	F0155	F0056	F0100	H0054
K00278	3841.24	3524.78	3567.03	4302.89	3419.04	3644.41	1902.33
K00281	 396.68	 200.43	 773.96	 503.18	 335.96	1140.75	  14.08
K00282	785.39	205.03	420.23	 72.99	 30.58	258.99	109.00
K00283	785.39	205.03	420.23	 72.99	 30.58	258.99	109.00
K00284	2317.83	2215.84	2021.49	3631.33	3107.00	2765.33	2374.00
K00285	 2.50	 3.43	 5.00	 0.00	29.21	 0.00	 1.08
K00286	4417.85	4182.01	4153.18	4436.19	3923.07	4225.98	2735.58
K00287	3081.50	2470.51	3410.43	4114.54	3749.57	3893.48	2458.58
K00289	1.75	0.00	2.75	2.25	2.50	0.00	0.00
K00290	1879.84	3213.33	2468.21	2926.08	2230.75	3775.75	1735.50
K00293	0.4	0.0	0.0	0.0	0.0	0.0	0.0
K00294	41.11	 0.00	17.88	24.43	 7.25	 0.00	 1.00
K00297	3757.40	3665.01	3736.43	3108.71	3843.75	4645.98	2580.25
K00298	8	0	0	7	0	0	0
K00299	 1.00	 3.43	 0.00	 2.00	29.21	 0.00	 2.08
K00301	0	0	0	0	0	0	0
K00302	0.8	0.0	0.0	0.0	0.0	0.0	1.0
K00303	17.8	 1.0	 0.0	10.0	 3.0	 6.0	 0.0
K00304	0	0	0	0	0	0	0
K00305	0	0	0	0	0	0	0
K00311	2.5	0.0	5.0	0.0	0.0	0.0	0.0
K00313	 38.00	 36.29	  4.00	 27.50	127.88	 15.50	  2.34
K00316	0	0	0	0	0	0	0
K00318	33.04	 0.00	 9.55	20.76	 7.25	 0.00	 1.00
K00322	 0.00	 3.43	 0.00	 0.00	29.21	 0.00	 1.08
K00324	 7.17	 6.43	 0.00	 0.00	30.87	 0.00	13.08
K00325	 7.17	 6.43	 0.00	 0.00	30.54	 0.00	 1.08
K00330	 480.64	 236.43	 774.66	 489.22	 333.71	1140.75	  14.08
K00331	342.64	236.43	654.66	429.22	329.71	715.75	 11.08
K00332	82.50	34.00	 9.33	 0.00	 5.00	 4.00	 1.00
K00333	82.50	34.00	 9.33	 0.00	 5.00	 4.00	 1.00
K00334	3772.89	3719.78	3488.28	2803.84	2951.04	2690.41	2614.33
K00335	2735.72	2012.79	2588.94	1708.67	2122.04	2658.24	 517.83
K00336	2781.02	3131.76	3135.91	1929.42	2420.96	3117.25	 625.83
K00337	 480.64	 238.43	 774.66	 490.22	 336.71	1140.75	  21.08
K00338	 480.64	 207.43	 774.66	 489.22	 333.71	1140.75	  14.08
K00339	 480.64	 236.43	 774.66	 489.22	 333.71	1140.75	  14.08
K00340	 480.64	 236.43	 774.66	 489.22	 333.71	1140.75	  14.08
K00341	 480.64	 236.43	 774.66	 489.22	 333.71	1140.75	  14.08
K00342	 480.64	 236.43	 774.66	 489.22	 333.71	1140.75	  14.08
K00343	 486.64	 236.43	 942.66	 489.22	 333.71	1140.75	  14.08
K00344	 7.50	 5.43	 5.00	 4.00	29.21	 2.00	 2.08
K00346	 431.18	 170.00	 774.88	 509.98	 307.75	1136.75	  13.00
K00347	 431.18	 170.00	 774.88	 509.98	 307.75	1136.75	  13.00
K00348	 431.18	 170.00	 774.88	 509.98	 307.75	1136.75	  13.00
K00349	 431.18	 170.00	 774.88	 509.98	 307.75	1136.75	  13.00
K00350	 431.18	 170.00	 774.88	 509.98	 307.75	1136.75	  13.00
K00351	 435.18	 170.00	 886.88	 509.98	 307.75	1136.75	  13.00
K00354	 2.00	56.00	 1.00	21.00	 2.33	 0.00	39.00
K00355	  67.34	 508.00	  35.33	 832.67	  42.33	   0.00	1262.47
K00356	0.00	0.00	0.00	0.33	0.00	0.00	0.00
K00362	  9.50	 64.43	  0.00	105.00	 29.21	 16.00	 13.88
K00363	 3.50	 4.43	 0.00	 2.00	29.21	 1.00	 1.08
K00364	 28.83	 44.93	 52.00	 19.77	130.37	  1.67	 16.75
K00366	 355.00	1304.00	 224.00	1441.00	 178.25	  46.00	 189.75
K00368	16.5	 7.0	 6.0	 2.0	15.0	 4.0	 2.0
K00370	14.00	 9.86	53.00	 7.00	78.42	 2.00	 4.36
K00371	14.00	 9.86	53.00	 7.00	78.42	 2.00	 4.36
K00372	 23.33	206.01	  4.66	317.33	  9.00	 87.33	 57.00
K00373	14.00	 9.86	53.00	 7.00	78.42	 2.00	 4.36
K00374	14.00	 9.86	53.00	 8.00	79.42	 2.00	11.36
K00375	2971.40	3147.34	2678.66	3837.33	3028.65	3932.33	2501.23
K00376	0	0	0	0	0	0	0
K00380	 1.50	 6.43	 1.33	 0.00	30.21	 3.00	 1.08
K00381	 1.50	 3.43	 1.33	 0.00	29.21	 3.00	 1.08
K00382	2157.40	1388.20	2653.05	1310.16	1787.41	2386.39	 368.50
K00383	 85.83	145.66	  6.40	 22.90	313.67	  3.07	 25.75
K00384	7682.22	7863.09	7228.15	7382.35	8037.94	7281.71	6120.00
K00385	 65.66	660.02	122.32	832.91	 34.25	180.66	896.25
K00389	 7.92	 3.43	58.50	 0.00	30.21	 0.00	 1.08
K00390	  74.45	1204.46	 114.27	 110.47	  83.96	  98.99	 138.08
K00392	2.5	0.0	0.0	0.0	0.0	0.0	1.0
K00394	 5.00	42.33	16.00	 3.00	 3.00	 1.00	14.00
K00395	 5.00	42.33	16.00	 3.00	 3.00	 1.00	14.00
K00404	0	0	0	0	0	0	0
K00405	0	0	0	0	0	0	0
K00406	9	0	0	0	0	0	0
K00407	0	0	0	0	0	0	0
K00410	0	0	0	0	0	0	0
K00411	0	0	0	0	0	0	0
K00412	0	0	0	0	0	0	0
K00413	0	0	0	0	0	0	0
K00423	0	0	0	0	0	0	0
K00425	 465.68	 255.86	 888.21	 536.81	 407.67	1147.25	  34.66
K00426	 462.68	 240.86	 832.21	 535.81	 403.67	1147.25	  33.66
K00427	 0.00	 3.43	 0.00	 0.00	29.21	 0.00	 1.08
K00428	 68.46	168.43	 67.38	 24.76	 51.46	  3.00	  4.28
K00432	1189.96	1535.26	1093.25	1531.52	 820.44	1257.92	 983.13
K00433	 159.67	 710.06	 213.40	1011.80	 887.55	  35.40	1308.75
K00436	0	0	0	0	0	0	0
K00437	0	0	0	1	1	0	7
K00441	 3.75	 0.00	58.75	 2.25	 2.50	 0.00	 0.00
K00446	0	0	0	0	0	0	0
K00448	0	0	0	0	0	0	0
K00449	0	0	0	0	0	0	0
K00450	298	142	115	 44	126	 41	115
K00451	9	0	0	0	0	0	0
K00453	9	0	0	0	0	0	0
K00455	 0.00	 3.43	 0.00	 0.00	29.21	 0.00	 0.28
K00456	0	0	0	0	0	0	0
K00457	9	0	0	0	0	0	0
K00459	 8.4	 4.0	50.0	 4.0	12.0	 0.0	 2.0
K00466	0	0	0	0	0	0	0
K00472	0	0	0	0	0	0	0
K00479	0	0	0	0	0	0	0
K00480	0	0	0	0	0	0	0
K00481	0	0	0	0	0	0	0
K00483	16.66	51.45	 9.32	18.66	40.21	98.66	48.28
K00484	 0.00	 3.43	 0.00	 0.00	29.21	 0.00	 0.28
K00486	9	0	0	0	0	0	0
K00491	0	0	0	0	0	0	0
K00496	0	0	0	0	0	0	0
K00500	0	0	0	0	0	0	0
K00505	0	0	0	0	0	0	0
K00507	0	0	0	0	0	0	0
K00508	9	0	0	0	0	0	0
K00510	2	3	0	2	2	1	0
K00517	2	1	0	2	0	1	0
K00520	0	0	0	0	0	0	0
K00523	 5.5	 2.0	50.0	 3.0	12.0	 0.0	 2.0
K00525	2359.32	3456.26	3093.77	3063.46	2874.28	2815.15	3137.66
K00526	 403.41	2130.43	 694.56	1261.48	1282.79	1006.40	2201.08
K00527	6000.08	7849.35	5860.84	9738.22	6766.90	6744.31	7621.25
K00528	4000.94	3656.10	3488.79	3977.26	3332.54	3130.83	2605.08
K00529	 7.00	 3.43	 0.00	 1.00	28.96	 1.00	 0.28
K00532	 27.00	316.00	  9.00	355.25	 19.25	 62.00	813.75
K00533	 50.00	147.33	 94.00	 85.00	 67.00	 19.00	 64.00
K00534	0	0	0	1	1	0	7
K00537	3174.67	3688.53	2942.54	4075.94	3461.99	3072.75	2599.50
K00547	467.00	189.06	163.40	130.13	363.29	144.40	 68.13
K00548	4913.58	4558.60	5087.54	5463.06	6080.71	4799.58	2785.33
K00549	1025.75	2271.16	 250.40	2942.56	1178.00	 366.07	5035.55
K00554	4421.57	3983.00	4190.27	4491.96	3887.99	4246.65	2658.33
K00556	 92.84	  3.43	204.83	  7.67	 49.21	 91.00	 11.08
K00557	 5.67	 6.43	 0.00	 0.33	30.21	 0.00	 1.08
K00558	7271.97	7689.49	6769.90	5045.22	5208.08	8158.07	2216.08
K00560	2835.97	1759.00	3126.77	3686.41	3506.07	3309.15	2283.58
K00561	419.00	280.00	 14.50	 44.00	  6.00	  2.25	 78.00
K00563	1596.66	2912.16	1155.90	3001.40	1302.17	 555.07	2366.75
K00564	 554.83	 789.99	  96.40	2199.90	 955.67	   3.07	2022.25
K00566	5071.34	4329.00	5732.85	5544.63	4472.99	6996.65	2699.33
K00567	3538.07	3457.17	3258.27	3997.66	3402.32	3662.15	2619.83
K00568	 37.07	  3.43	127.50	  2.00	 29.21	 78.00	 11.08
K00569	0	0	0	0	0	0	0
K00571	2708.36	3730.10	2429.06	3368.03	2383.04	2689.40	2676.40
K00573	157.67	  3.43	130.00	 61.00	 34.21	425.00	 11.08
K00574	 225.40	 382.77	 426.66	 305.33	1183.79	 277.33	  68.08
K00575	2353.06	 721.78	1885.32	 730.16	 519.96	1233.16	 337.83
K00584	0	0	0	0	0	0	1
K00588	0	0	0	0	0	0	0
K00590	0	0	0	0	0	2	0
K00595	2500.02	1321.35	2740.70	2295.59	2810.25	4220.16	 453.00
K00598	 6.00	 3.43	 3.00	 9.25	33.96	 3.00	 9.78
K00600	4412.50	4104.01	4027.93	4698.29	3662.32	4231.98	2700.33
K00602	4765.91	4214.00	4787.57	5096.27	4172.07	5242.40	3390.83
K00603	 403.97	 311.00	 735.80	 632.43	 328.66	1270.42	  77.92
K00604	4416.72	3987.33	4121.52	4576.21	3888.82	4196.65	2632.33
K00605	1185.24	 498.45	1145.53	 767.84	 362.29	1388.41	 127.08
K00606	2424.58	1030.93	2540.21	 950.48	 929.71	2190.25	 189.58
K00609	4413.97	3948.00	4080.77	4487.96	3874.32	4185.65	2624.33
K00610	2909.34	1188.77	2662.04	1665.31	2446.62	3597.08	 289.08
K00611	4129.40	3175.50	3387.22	4406.72	3648.58	3135.90	2693.30
K00612	 0	29	 0	 2	 2	 3	 0
K00613	23.5	16.0	 2.0	17.0	22.5	10.0	 2.0
K00615	11972.85	12073.85	11663.21	19311.26	11845.19	12500.45	 8472.67
K00616	2921.91	3859.03	3220.12	3276.59	2918.57	3669.58	2807.74
K00619	114	  0	  1	 11	  1	  0	 16
K00620	3912.00	2477.07	3209.89	3882.38	3358.96	3057.73	2520.67
K00625	3325.08	2296.58	3373.43	3511.54	2983.54	3510.48	 592.17
K00626	2889.79	1483.97	2605.64	3558.65	 971.21	2488.32	 517.63
K00627	318.66	353.67	226.39	177.23	201.00	531.40	143.75
K00631	 5.67	 6.43	 0.00	 0.00	30.21	 0.00	 1.08
K00632	 26.67	 28.86	 18.00	 50.00	 64.42	174.00	 24.16
K00633	 391.37	1508.44	 839.21	2010.59	 796.54	2007.83	2163.08
K00634	 422.85	 212.01	 921.24	 562.25	 333.00	1347.08	  96.50
K00638	 28	 88	  4	128	 10	 38	 27
K00639	 661.00	 281.43	1426.04	 708.60	 643.79	1905.25	  34.08
K00640	4829.71	4051.00	4517.16	6450.35	3835.92	5540.65	3384.00
K00641	167.40	  6.00	204.83	  5.00	 25.00	 96.00	  4.00
K00643	0	0	0	0	0	0	0
